date,hash,message,author_name,url
2020-04-18T19:01:29Z,7da5418758eab32bd247826e512bba3e413936d6,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/7da5418758eab32bd247826e512bba3e413936d6
2020-04-18T17:20:25Z,100db552d16164648e269aeb45fd87f7a39d9c11,A resize can realloc so cannot cache the value of the list pointer.,nicm,https://github.com/tmux/tmux/commit/100db552d16164648e269aeb45fd87f7a39d9c11
2020-04-18T17:01:28Z,2b83ee5557136125452581e99715e4322ff58cee,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/2b83ee5557136125452581e99715e4322ff58cee
2020-04-18T15:22:05Z,deffef6f1378db4986941dd9d83ba61f11142cd8,Reset background colour on scrolled line.,nicm,https://github.com/tmux/tmux/commit/deffef6f1378db4986941dd9d83ba61f11142cd8
2020-04-18T15:12:28Z,ea5fdd5331d74d305cbb61b8f47a2054fc2052fb,"There is no point in keeping a bunch of different text buffers for each
line when writing, we only need one as big as the line width - there
can't be any more text than that since newer will overwrite older.",nicm,https://github.com/tmux/tmux/commit/ea5fdd5331d74d305cbb61b8f47a2054fc2052fb
2020-04-18T15:01:34Z,2ccf15e5d8611d8125b81dac1fb56a2696fecee4,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/2ccf15e5d8611d8125b81dac1fb56a2696fecee4
2020-04-18T14:21:39Z,4a93294152efb921bb5bada71164c47a57518e31,Use size_t not u_int for the bytes counters and fix a const missing.,nicm,https://github.com/tmux/tmux/commit/4a93294152efb921bb5bada71164c47a57518e31
2020-04-18T11:01:31Z,d55510ebc8b44fa8784fd6257831c82841afd52f,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/d55510ebc8b44fa8784fd6257831c82841afd52f
2020-04-18T10:45:49Z,94c90385d2e728a4d37a25ce78b55b2ffeb429f9,"Apple appear to have fixed kqueue in some OS X version (will wonder never
cease!) so use it since it appears to be faster.",Nicholas Marriott,https://github.com/tmux/tmux/commit/94c90385d2e728a4d37a25ce78b55b2ffeb429f9
2020-04-18T09:01:31Z,e1799ed7c8f55a2f4467f45549bee3a058cdcd24,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/e1799ed7c8f55a2f4467f45549bee3a058cdcd24
2020-04-18T09:00:31Z,c87595326c69b3a82175268136f901199ff3cead,Use peek line function instead of hoking in the array directly.,nicm,https://github.com/tmux/tmux/commit/c87595326c69b3a82175268136f901199ff3cead
2020-04-18T07:32:53Z,b0a37e7514f2e08a9a8315cc68add4f0a53ed2af,"Bring back previons fix to only redraw panes that need it after a redraw
is deferred, but clear the pane flags when they are actually redrawn
rather than every time.",nicm,https://github.com/tmux/tmux/commit/b0a37e7514f2e08a9a8315cc68add4f0a53ed2af
2020-04-18T07:19:28Z,e153b928ff5139fdc39b45db493a1c81d2175d21,Add formats for pane written/skipped bytes for debugging.,nicm,https://github.com/tmux/tmux/commit/e153b928ff5139fdc39b45db493a1c81d2175d21
2020-04-18T07:01:37Z,349617a818ec8ed0f1cdedac64f5d9126d920f87,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/349617a818ec8ed0f1cdedac64f5d9126d920f87
2020-04-18T06:52:36Z,baf1fca27348a2950b7d1bb26cdf4d34a752b962,Only update mode when actually going to redraw something.,nicm,https://github.com/tmux/tmux/commit/baf1fca27348a2950b7d1bb26cdf4d34a752b962
2020-04-18T06:20:50Z,1d2bd864f25a58ab85a6f9f0a448f3a69d8491cd,"Add a flag to protect against nested syncs and add some extra logging to
redrawing.",nicm,https://github.com/tmux/tmux/commit/1d2bd864f25a58ab85a6f9f0a448f3a69d8491cd
2020-04-18T06:15:07Z,d94bdf7420eb6d0ef88783a35db2c592a3fccec0,"Revert previous, there is still a problem.",nicm,https://github.com/tmux/tmux/commit/d94bdf7420eb6d0ef88783a35db2c592a3fccec0
2020-04-18T06:10:15Z,5289d4ed13e18fa4430aba27af0d525d2f76fc30,"When a redraw is deferred because the terminal hasn't finished reading
the data from the last one, other panes could update while waiting, so
we set the flag to redraw them all when the new redraw actually
happened. But this means a lot of redrawing panes unnecessarily if they
haven't changed - so instead set a flag to say ""at least one pane needs
to be redrawed"" then look at the invidual pane flags to see which ones
need it.",nicm,https://github.com/tmux/tmux/commit/5289d4ed13e18fa4430aba27af0d525d2f76fc30
2020-04-17T23:01:30Z,87d79e6d367f725d831cf04357e6a354908ad551,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/87d79e6d367f725d831cf04357e6a354908ad551
2020-04-17T22:16:28Z,a7a9460d2790161f7bb60c4047acf32d3aa93ed9,"Set mode properly before and after redrawing, and don't bother
calculating cursor position if it won't be used.",nicm,https://github.com/tmux/tmux/commit/a7a9460d2790161f7bb60c4047acf32d3aa93ed9
2020-04-17T21:33:18Z,a877a5d8c96f317cb8c496f0c9afa0304be926a6,"Do not move the cursor to the existing y position if it is invalid, go
home instead.",nicm,https://github.com/tmux/tmux/commit/a877a5d8c96f317cb8c496f0c9afa0304be926a6
2020-04-17T17:01:30Z,857fca1095861b254f9585a7ddc4404a8b722e8a,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/857fca1095861b254f9585a7ddc4404a8b722e8a
2020-04-17T15:44:58Z,bbd6e899a8618229f27f04e81a95163968a7b905,"There is no point allocating a new item and putting it on the list when
the whole line is cleared line, there is never any point in doing it
more than once. Instead store the background colour alone.",nicm,https://github.com/tmux/tmux/commit/bbd6e899a8618229f27f04e81a95163968a7b905
2020-04-17T15:01:33Z,7a21e911e1d2bdf95e4afb6ca3ae6de9e425c369,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/7a21e911e1d2bdf95e4afb6ca3ae6de9e425c369
2020-04-17T14:06:42Z,282a7a8d96877d4063fe16c5fbba03d95bc35008,"Make sure the cursor position is still on screen after we have trimmed
empty lines. Also improve some log messages.",nicm,https://github.com/tmux/tmux/commit/282a7a8d96877d4063fe16c5fbba03d95bc35008
2020-04-17T11:01:30Z,abeb31dd3d189dd3c880b1925b286c296ac5a869,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/abeb31dd3d189dd3c880b1925b286c296ac5a869
2020-04-17T09:06:10Z,7f2925a01de5da0416dd2589ee080f61650f2da9,"Support the application escape sequence mintty (means tmux doesn't have
to delay to wait for Escape).",nicm,https://github.com/tmux/tmux/commit/7f2925a01de5da0416dd2589ee080f61650f2da9
2020-04-17T09:01:38Z,413c4cfd1bdf40cfbb65400abe7edff97ba821c9,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/413c4cfd1bdf40cfbb65400abe7edff97ba821c9
